CMDLINE uvicorn fastapi_app:app
MEM 184.496094 1768699372.2168
MEM 184.496094 1768699372.3220
MEM 184.496094 1768699372.4267
MEM 184.496094 1768699372.5312
MEM 184.496094 1768699372.6368
MEM 184.496094 1768699372.7435
MEM 184.496094 1768699372.8484
MEM 184.496094 1768699372.9544
MEM 184.496094 1768699373.0608
MEM 184.496094 1768699373.1657
MEM 184.496094 1768699373.2725
MEM 184.496094 1768699373.3779
MEM 184.496094 1768699373.4830
MEM 184.496094 1768699373.5879
MEM 184.496094 1768699373.6932
MEM 184.496094 1768699373.7984
MEM 184.496094 1768699373.9036
MEM 184.496094 1768699374.0094
MEM 184.921875 1768699374.1151
MEM 185.289062 1768699374.2242
MEM 185.289062 1768699374.3336
MEM 185.289062 1768699374.4397
MEM 185.289062 1768699374.5455
MEM 185.292969 1768699374.6534
MEM 187.046875 1768699374.7617
MEM 183.437500 1768699374.8661
MEM 183.484375 1768699374.9749
MEM 183.632812 1768699375.0831
MEM 183.632812 1768699375.1917
MEM 183.632812 1768699375.2991
MEM 183.632812 1768699375.4068
MEM 183.648438 1768699375.5166
MEM 183.707031 1768699375.6261
MEM 183.707031 1768699375.7342
MEM 183.707031 1768699375.8429
MEM 183.707031 1768699375.9518
MEM 183.707031 1768699376.0609
MEM 183.707031 1768699376.1666
MEM 183.707031 1768699376.2734
MEM 183.707031 1768699376.3834
MEM 183.707031 1768699376.4911
MEM 183.707031 1768699376.5965
MEM 183.707031 1768699376.7013
MEM 183.707031 1768699376.8094
MEM 183.707031 1768699376.9190
MEM 183.730469 1768699377.0281
MEM 183.730469 1768699377.1375
MEM 184.238281 1768699377.2456
MEM 184.250000 1768699377.3561
MEM 184.250000 1768699377.4616
MEM 184.250000 1768699377.5673
MEM 184.250000 1768699377.6726
MEM 184.250000 1768699377.7799
MEM 184.253906 1768699377.8910
MEM 184.261719 1768699377.9966
MEM 184.261719 1768699378.1036
MEM 184.261719 1768699378.2129
MEM 184.261719 1768699378.3222
MEM 184.261719 1768699378.4281
MEM 184.261719 1768699378.5329
MEM 184.261719 1768699378.6401
MEM 184.273438 1768699378.7490
MEM 184.273438 1768699378.8592
MEM 184.273438 1768699378.9660
MEM 184.273438 1768699379.0750
MEM 184.273438 1768699379.1851
MEM 184.273438 1768699379.2942
MEM 184.273438 1768699379.4019
